trope_name,trope_category,trope_description
Across the Tracks/Wrong Side of the Tracks,class_difference,"Romance between individuals from different social or economic backgrounds, highlighting class disparities and societal expectations."
Age Difference/Cougar/May-December/Silver Fox,age_gap,Relationships with significant age gaps. 'Cougar' refers to older woman/younger man; 'Silver Fox' to attractive older men; 'May-December' to any large age gap.
Alphahole,character_type,"Domineering, arrogant male lead who combines alpha traits with antagonistic behavior, often softening through love."
Amnesia,plot_device,"Character loses memory, creating romantic tension as they rediscover past relationships or form new ones without baggage."
Arranged Marriage,forced_situation,"Characters married by family arrangement or cultural expectation, discovering unexpected love within obligation."
Antagonist/Villain,character_type,"Romance with the story's villain or morally grey character, exploring redemption through love."
Bad Boy,character_type,"Rebellious, misunderstood male lead with rough exterior who reveals vulnerability to love interest."
Best Friend,relationship_dynamic,"Long-term friends develop romantic feelings, risking friendship for deeper connection."
Best Friend's Sister/Brother,forbidden,"Romance with best friend's sibling, complicated by loyalty conflicts and fear of damaging friendships."
Bet/Wager,deception,"Relationship begins as bet or dare, with genuine feelings developing despite deceptive origins."
Blackmail,dark_romance,"Coercive relationship beginning, with romance developing despite or because of power imbalance."
Boss/Employee,workplace,"Romance between employer and employee, navigating professional boundaries and power dynamics."
Boy/Girl Next Door,proximity,"Wholesome romance with familiar neighbor, representing comfort, safety, and hometown values."
Bride/Runaway Bride,wedding,"Stories centered on weddings, wedding planning, or escaping unwanted marriages."
The Con,deception,"Romance develops during confidence scheme, with deception threatening genuine connection."
Disguise/Hidden Identity,deception,"Character conceals true identity for safety or advantage, risking love when truth emerges."
Domestic Staff/Maid/Nanny,class_difference,"Romance between household employee and employer, exploring intimacy within professional boundaries."
Enemies to Lovers,relationship_dynamic,Characters who initially dislike or oppose each other develop romantic feelings through forced interaction.
Fake Relationship,deception,"Pretend romance for mutual benefit (family, work, visa) becomes genuinely romantic."
Family Saga,plot_device,"Multi-generational romance influenced by family dynamics, feuds, or expectations."
Fated Mates,paranormal,Supernatural or destiny-driven connection between characters who are meant to be together.
Fish Out of Water,situation,"Character in unfamiliar environment (city/country, rich/poor) finds love while adapting."
Fling/One Night Stand,relationship_dynamic,Casual encounter develops into deeper connection despite intentions to keep it brief.
Forced Proximity,situation,"Characters compelled to spend time together (snowed in, work assignment), developing intimacy."
Friends to Lovers,relationship_dynamic,"Platonic relationship gradually transforms into romantic love, risking established dynamic."
Gay for You/Sexual Awakening,lgbtq+,Character questions sexuality when falling for someone outside usual preference.
Heist,plot_device,"Romance develops during criminal enterprise, with shared danger creating bonds."
Holiday/Christmas,setting,"Romance during festive season, with holiday magic facilitating emotional connections."
Instalove/Love at First Sight,relationship_dynamic,"Immediate, intense attraction leading to swift romantic commitment."
Kidnapped,dark_romance,Captor/captive dynamic developing into complex romantic relationship (Stockholm syndrome elements).
Loner,character_type,Solitary character learns to open heart and accept love despite preference for isolation.
Matchmaker,plot_device,"Character setting up others finds own romance, often with fellow matchmaker or unexpected match."
Marriage of Convenience,forced_situation,"Practical marriage (citizenship, inheritance, business) develops real emotional connection."
MacGuffin,plot_device,"Object or goal brings characters together repeatedly, facilitating romantic development."
